Country,Element,Item,Year,Value
Afghanistan,Total Population - Both sexes,Population,1965,9765000
Afghanistan,Total Population - Both sexes,Population,1970,11016000
Afghanistan,Total Population - Both sexes,Population,1975,12552000
Afghanistan,Total Population - Both sexes,Population,1980,13180000
Afghanistan,Total Population - Both sexes,Population,1985,11529000
Afghanistan,Total Population - Both sexes,Population,1990,11731000
Afghanistan,Total Population - Both sexes,Population,1995,17586000
Afghanistan,Total Population - Both sexes,Population,2000,20595000
Afghanistan,Total Population - Both sexes,Population,2005,24861000
Afghanistan,Total Population - Both sexes,Population,2010,28398000
Afghanistan,Total Population - Both sexes,Population,2011,29105000
Afghanistan,Total Population - Both sexes,Population,2012,29825000
Afghanistan,Total Population - Both sexes,Population,2013,30552000
Afghanistan,Production,Wheat and products,1965,2282000
Afghanistan,Production,Wheat and products,1970,2081000
Afghanistan,Production,Wheat and products,1975,2850000
Afghanistan,Production,Wheat and products,1980,2550000
Afghanistan,Production,Wheat and products,1985,2081000
Afghanistan,Production,Wheat and products,1990,1650000
Afghanistan,Production,Wheat and products,1995,2100000
Afghanistan,Production,Wheat and products,2000,1469000
Afghanistan,Production,Wheat and products,2005,4266000
Afghanistan,Production,Wheat and products,2010,4532000
Afghanistan,Production,Wheat and products,2011,3388000
Afghanistan,Production,Wheat and products,2012,5050000
Afghanistan,Production,Wheat and products,2013,5169000
Afghanistan,Import Quantity,Wheat and products,1965,109000
Afghanistan,Import Quantity,Wheat and products,1970,106000
Afghanistan,Import Quantity,Wheat and products,1975,13000
Afghanistan,Import Quantity,Wheat and products,1980,4000
Afghanistan,Import Quantity,Wheat and products,1985,58000
Afghanistan,Import Quantity,Wheat and products,1990,299000
Afghanistan,Import Quantity,Wheat and products,1995,108000
Afghanistan,Import Quantity,Wheat and products,2000,929000
Afghanistan,Import Quantity,Wheat and products,2005,1018000
Afghanistan,Import Quantity,Wheat and products,2010,1264000
Afghanistan,Import Quantity,Wheat and products,2011,1759000
Afghanistan,Import Quantity,Wheat and products,2012,1334000
Afghanistan,Import Quantity,Wheat and products,2013,1173000
Afghanistan,Production,Rice (Milled Equivalent),1965,253000
Afghanistan,Production,Rice (Milled Equivalent),1970,244000
Afghanistan,Production,Rice (Milled Equivalent),1975,290000
Afghanistan,Production,Rice (Milled Equivalent),1980,277000
