Item,Year,Value
Barley,1965,0
Barley,1970,0
Barley,1975,1000
Barley,1980,899
Barley,1985,524
Barley,1990,210
Barley,1995,218
Barley,2000,310
Barley,2005,65
Barley,2010,6
Barley,2011,0
Barley,2012,0
Barley,2013,3
Maize,1965,0
Maize,1970,0
Maize,1975,0
Maize,1980,0
Maize,1985,0
Maize,1990,251
Maize,1995,15000
Maize,2000,270000
Maize,2005,115983
Maize,2010,701356
Maize,2011,529259
Maize,2012,187352
Maize,2013,446397
Millet,1965,
Millet,1970,
Millet,1975,
Millet,1980,
Millet,1985,
Millet,1990,
Millet,1995,
Millet,2000,
Millet,2005,0
Millet,2010,0
Millet,2011,0
Millet,2012,0
Millet,2013,1
Rice,1965,81858
Rice,1970,510000
Rice,1975,281917
Rice,1980,548090
Rice,1985,677323
Rice,1990,380062
Rice,1995,984320
Rice,2000,452122
Rice,2005,705136
Rice,2010,679603
Rice,2011,1310873
Rice,2012,44842
Rice,2013,260256
Wheat,1965,241148
Wheat,1970,1061491
Wheat,1975,2247289
Wheat,1980,1639781
Wheat,1985,1905195
Wheat,1990,1156549
Wheat,1995,1380849
Wheat,2000,1600000
Wheat,2005,2092200
Wheat,2010,3210008
Wheat,2011,3112314
Wheat,2012,2089845
Wheat,2013,3376956
