Item,Year,Value
Barley,1965,40724
Barley,1970,43680
Barley,1975,22180
Barley,1980,92875
Barley,1985,177826
Barley,1990,68276
Barley,1995,249846
Barley,2000,133720
Barley,2005,146316
Barley,2010,295805
Barley,2011,320164
Barley,2012,229649
Barley,2013,368453
Maize,1965,1129
Maize,1970,2110
Maize,1975,2073
Maize,1980,1593997
Maize,1985,262152
Maize,1990,699180
Maize,1995,1309332
Maize,2000,1771194
Maize,2005,597026
Maize,2010,462539
Maize,2011,656336
Maize,2012,830443
Maize,2013,911387
Millet,1965,0
Millet,1970,1821
Millet,1975,3867
Millet,1980,3393
Millet,1985,622
Millet,1990,2680
Millet,1995,6884
Millet,2000,3515
Millet,2005,2465
Millet,2010,2091
Millet,2011,7509
Millet,2012,6306
Millet,2013,4762
Rice,1965,0
Rice,1970,27
Rice,1975,57504
Rice,1980,238536
Rice,1985,338109
Rice,1990,409725
Rice,1995,862985
Rice,2000,632139
Rice,2005,494630
Rice,2010,747909
Rice,2011,580594
Rice,2012,693757
Rice,2013,737363
Wheat,1965,1876300
Wheat,1970,1969300
Wheat,1975,2097927
Wheat,1980,4755116
Wheat,1985,4041386
Wheat,1990,1962028
Wheat,1995,6135235
Wheat,2000,7523008
Wheat,2005,4988139
Wheat,2010,6323216
Wheat,2011,5740453
Wheat,2012,6580434
Wheat,2013,7273279
