Item,Year,Value
Barley,1965,23600
Barley,1970,0
Barley,1975,0
Barley,1980,20000
Barley,1985,31503
Barley,1990,652429
Barley,1995,1273955
Barley,2000,1974110
Barley,2005,2179212
Barley,2010,2367156
Barley,2011,1775520
Barley,2012,2527655
Barley,2013,2335158
Maize,1965,150000
Maize,1970,50000
Maize,1975,200000
Maize,1980,1828000
Maize,1985,90933
Maize,1990,368787
Maize,1995,5181023
Maize,2000,3052
Maize,2005,3975
Maize,2010,1572394
Maize,2011,1752825
Maize,2012,5207111
Maize,2013,3264886
Millet,1965,0
Millet,1970,0
Millet,1975,0
Millet,1980,0
Millet,1985,5
Millet,1990,60
Millet,1995,0
Millet,2000,84
Millet,2005,0
Millet,2010,0
Millet,2011,0
Millet,2012,0
Millet,2013,46
Rice,1965,112300
Rice,1970,5000
Rice,1975,27000
Rice,1980,130000
Rice,1985,210763
Rice,1990,58854
Rice,1995,1640255
Rice,2000,238593
Rice,2005,513950
Rice,2010,363156
Rice,2011,574972
Rice,2012,2334417
Rice,2013,2235839
Wheat,1965,6072700
Wheat,1970,5302100
Wheat,1975,3491200
Wheat,1980,10971700
Wheat,1985,5380000
Wheat,1990,12527317
Wheat,1995,11590000
Wheat,2000,875976
Wheat,2005,3510133
Wheat,2010,1218722
Wheat,2011,1248822
Wheat,2012,3688617
Wheat,2013,5506712
