Item,Year,Value
Barley,1965,0
Barley,1970,1
Barley,1975,5
Barley,1980,26
Barley,1985,71
Barley,1990,0
Barley,1995,9164
Barley,2000,17
Barley,2005,0
Barley,2010,51
Barley,2011,23
Barley,2012,67
Barley,2013,19
Maize,1965,1501
Maize,1970,0
Maize,1975,25
Maize,1980,33772
Maize,1985,50037
Maize,1990,9050
Maize,1995,969193
Maize,2000,1264575
Maize,2005,185597
Maize,2010,1527516
Maize,2011,3207657
Maize,2012,1692995
Maize,2013,3191045
Millet,1965,0
Millet,1970,0
Millet,1975,0
Millet,1980,0
Millet,1985,394
Millet,1990,1597
Millet,1995,3760
Millet,2000,8150
Millet,2005,10132
Millet,2010,10510
Millet,2011,13171
Millet,2012,16401
Millet,2013,18255
Rice,1965,193000
Rice,1970,956130
Rice,1975,691777
Rice,1980,2011713
Rice,1985,33825
Rice,1990,49386
Rice,1995,3154914
Rice,2000,1338988
Rice,2005,188944
Rice,2010,685768
Rice,2011,2745281
Rice,2012,1802050
Rice,2013,472239
Wheat,1965,0
Wheat,1970,15820
Wheat,1975,716640
Wheat,1980,1482150
Wheat,1985,1317365
Wheat,1990,1724495
Wheat,1995,4054203
Wheat,2000,3588729
Wheat,2005,4428511
Wheat,2010,4810539
Wheat,2011,5604861
Wheat,2012,6250490
Wheat,2013,6737512
