Item,Year,Value
Barley,1965,235
Barley,1970,63
Barley,1975,89
Barley,1980,45
Barley,1985,0
Barley,1990,0
Barley,1995,0
Barley,2000,0
Barley,2005,18610
Barley,2010,2050
Barley,2011,716
Barley,2012,35181
Barley,2013,500
Maize,1965,174990
Maize,1970,5500
Maize,1975,2417
Maize,1980,14381
Maize,1985,0
Maize,1990,10
Maize,1995,11
Maize,2000,28923
Maize,2005,1632
Maize,2010,7050
Maize,2011,12261
Maize,2012,2426
Maize,2013,11628
Millet,1965,0
Millet,1970,0
Millet,1975,0
Millet,1980,2
Millet,1985,0
Millet,1990,0
Millet,1995,0
Millet,2000,0
Millet,2005,1198
Millet,2010,845
Millet,2011,0
Millet,2012,0
Millet,2013,0
Rice,1965,1070985
Rice,1970,580424
Rice,1975,276818
Rice,1980,4179
Rice,1985,55840
Rice,1990,66038
Rice,1995,52
Rice,2000,13193
Rice,2005,256
Rice,2010,95
Rice,2011,1093
Rice,2012,539
Rice,2013,1323
Wheat,1965,6572362
Wheat,1970,3586877
Wheat,1975,7180769
Wheat,1980,343716
Wheat,1985,130000
Wheat,1990,62599
Wheat,1995,8240
Wheat,2000,4224
Wheat,2005,37760
Wheat,2010,185255
Wheat,2011,25
Wheat,2012,1569
Wheat,2013,11644
