Item,Year,Value
Barley,1965,93531
Barley,1970,1351
Barley,1975,153155
Barley,1980,243112
Barley,1985,38224
Barley,1990,111236
Barley,1995,68444
Barley,2000,209746
Barley,2005,43730
Barley,2010,52551
Barley,2011,41163
Barley,2012,71075
Barley,2013,66927
Maize,1965,11126
Maize,1970,760901
Maize,1975,2636597
Maize,1980,3777277
Maize,1985,1725737
Maize,1990,4104418
Maize,1995,2686921
Maize,2000,5347619
Maize,2005,5743678
Maize,2010,7848998
Maize,2011,9476171
Maize,2012,9515074
Maize,2013,7153033
Millet,1965,0
Millet,1970,0
Millet,1975,0
Millet,1980,0
Millet,1985,0
Millet,1990,1138
Millet,1995,2191
Millet,2000,3617
Millet,2005,5225
Millet,2010,4424
Millet,2011,4638
Millet,2012,3985
Millet,2013,3328
Rice,1965,17833
Rice,1970,16301
Rice,1975,6
Rice,1980,92767
Rice,1985,199532
Rice,1990,150323
Rice,1995,246049
Rice,2000,425581
Rice,2005,490281
Rice,2010,572092
Rice,2011,666830
Rice,2012,604361
Rice,2013,673877
Wheat,1965,1539
Wheat,1970,47
Wheat,1975,87325
Wheat,1980,822669
Wheat,1985,560505
Wheat,1990,338771
Wheat,1995,1222653
Wheat,2000,2794421
Wheat,2005,3717624
Wheat,2010,3495480
Wheat,2011,4047832
Wheat,2012,4641718
Wheat,2013,4166753
