Item,Year,Value
Barley,1965,0
Barley,1970,0
Barley,1975,8
Barley,1980,0
Barley,1985,0
Barley,1990,0
Barley,1995,0
Barley,2000,107
Barley,2005,1028
Barley,2010,4246
Barley,2011,1834
Barley,2012,3387
Barley,2013,1578
Maize,1965,190
Maize,1970,3890
Maize,1975,0
Maize,1980,8692
Maize,1985,0
Maize,1990,403
Maize,1995,286
Maize,2000,5462
Maize,2005,27315
Maize,2010,12338
Maize,2011,13096
Maize,2012,17687
Maize,2013,24369
Millet,1965,0
Millet,1970,0
Millet,1975,0
Millet,1980,0
Millet,1985,0
Millet,1990,0
Millet,1995,40
Millet,2000,8
Millet,2005,897
Millet,2010,317
Millet,2011,33023
Millet,2012,10772
Millet,2013,4316
Rice,1965,18
Rice,1970,20
Rice,1975,20
Rice,1980,3
Rice,1985,7
Rice,1990,25
Rice,1995,68
Rice,2000,718
Rice,2005,0
Rice,2010,1925
Rice,2011,21052
Rice,2012,11421
Rice,2013,61169
Wheat,1965,1515646
Wheat,1970,228600
Wheat,1975,1344147
Wheat,1980,602208
Wheat,1985,979998
Wheat,1990,2047418
Wheat,1995,2616581
Wheat,2000,1048179
Wheat,2005,1408660
Wheat,2010,94058
Wheat,2011,21841
Wheat,2012,0
Wheat,2013,386932
