Item,Year,Value
Barley,1995,642228
Barley,2000,633486
Barley,2005,251463
Barley,2010,103234
Barley,2011,379360
Barley,2012,520894
Barley,2013,292803
Maize,1995,251416
Maize,2000,702193
Maize,2005,200625
Maize,2010,36500
Maize,2011,114224
Maize,2012,40895
Maize,2013,55271
Millet,1995,
Millet,2000,1735
Millet,2005,232
Millet,2010,639
Millet,2011,1816
Millet,2012,2
Millet,2013,260
Rice,1995,145667
Rice,2000,351256
Rice,2005,368200
Rice,2010,224975
Rice,2011,190397
Rice,2012,205190
Rice,2013,247166
Wheat,1995,1627540
Wheat,2000,2631312
Wheat,2005,577115
Wheat,2010,75748
Wheat,2011,120143
Wheat,2012,373486
Wheat,2013,913326
