Item,Year,Value
Barley,1965,125678
Barley,1970,231994
Barley,1975,306627
Barley,1980,139599
Barley,1985,104953
Barley,1990,217808
Barley,1995,1044700
Barley,2000,581305
Barley,2005,119585
Barley,2010,268598
Barley,2011,188564
Barley,2012,515103
Barley,2013,389970
Maize,1965,23929
Maize,1970,83669
Maize,1975,44558
Maize,1980,23311
Maize,1985,62208
Maize,1990,54329
Maize,1995,294732
Maize,2000,293230
Maize,2005,282360
Maize,2010,380583
Maize,2011,640500
Maize,2012,1805005
Maize,2013,3309863
Millet,1965,893
Millet,1970,279
Millet,1975,193
Millet,1980,174
Millet,1985,190
Millet,1990,757
Millet,1995,958
Millet,2000,464
Millet,2005,1566
Millet,2010,955
Millet,2011,1401
Millet,2012,2805
Millet,2013,20794
Rice,1965,30151
Rice,1970,20175
Rice,1975,660
Rice,1980,2214
Rice,1985,58620
Rice,1990,147456
Rice,1995,223317
Rice,2000,301242
Rice,2005,404282
Rice,2010,538544
Rice,2011,597083
Rice,2012,620522
Rice,2013,653927
Wheat,1965,21903
Wheat,1970,43141
Wheat,1975,17145
Wheat,1980,5774
Wheat,1985,272105
Wheat,1990,633643
Wheat,1995,1519393
Wheat,2000,1862217
Wheat,2005,1294510
Wheat,2010,2494598
Wheat,2011,1999076
Wheat,2012,2470365
Wheat,2013,3386604
